epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.805,0.77857,1.92101,1.10906,0.82128,0.81505,0.9448,0.84695,0.48355,1.95258,0.94654,0.000330033,0.000330033,0.000330033
2,627.352,0.68059,0.96398,1.04498,0.96142,0.92353,0.978,0.87964,0.49474,1.12886,0.96003,0.000656799,0.000656799,0.000656799
3,936.441,0.69491,0.89313,1.05666,0.93853,0.96017,0.9846,0.87705,0.51479,0.89857,0.98151,0.000976965,0.000976965,0.000976965
4,1228.67,0.67803,0.77111,1.04645,0.76723,0.83176,0.84049,0.7366,0.52076,1.12446,0.98032,0.0009703,0.0009703,0.0009703
5,1519.61,0.65128,0.68983,1.02865,0.96569,0.95157,0.98836,0.88588,0.4977,0.66328,0.95429,0.0009604,0.0009604,0.0009604
6,1812.16,0.66244,0.62465,1.038,0.9554,0.95631,0.97927,0.87287,0.5302,0.73051,0.9856,0.0009505,0.0009505,0.0009505
7,2108.35,0.6546,0.55263,1.02703,0.82731,0.83558,0.8757,0.80027,0.45919,0.97894,0.92132,0.0009406,0.0009406,0.0009406
8,2408.03,0.61051,0.50847,1.0065,0.97937,0.97394,0.98962,0.90051,0.45016,0.4599,0.92773,0.0009307,0.0009307,0.0009307
9,2702.26,0.63368,0.51904,1.02318,0.98963,0.95135,0.98715,0.89516,0.48811,0.43624,0.96019,0.0009208,0.0009208,0.0009208
10,3000.2,0.60808,0.48604,1.00586,0.98154,0.97272,0.99185,0.90702,0.43622,0.40934,0.92045,0.0009109,0.0009109,0.0009109
11,3299.3,0.59226,0.44143,0.993,0.98088,0.96197,0.98929,0.90423,0.44864,0.40652,0.92302,0.000901,0.000901,0.000901
12,3595.5,0.60183,0.42496,0.99956,0.98034,0.95945,0.98428,0.90803,0.44621,0.38639,0.92001,0.0008911,0.0008911,0.0008911
13,3895.49,0.57706,0.43214,0.98714,0.97982,0.97392,0.98879,0.90997,0.44007,0.36652,0.93007,0.0008812,0.0008812,0.0008812
14,4196.58,0.584,0.41224,0.99819,0.9786,0.96072,0.97897,0.90643,0.4344,0.38072,0.92702,0.0008713,0.0008713,0.0008713
15,4493.62,0.58548,0.41557,0.9909,0.98239,0.98331,0.99049,0.89941,0.50289,0.36116,0.95822,0.0008614,0.0008614,0.0008614
16,4790.96,0.57727,0.38941,0.99776,0.97433,0.97129,0.98394,0.91165,0.4046,0.35049,0.90882,0.0008515,0.0008515,0.0008515
17,5085.89,0.56067,0.38039,0.97594,0.98419,0.96992,0.98827,0.92266,0.4154,0.312,0.91258,0.0008416,0.0008416,0.0008416
18,5382.2,0.57156,0.37722,0.99003,0.98082,0.976,0.99079,0.92335,0.40334,0.32416,0.90418,0.0008317,0.0008317,0.0008317
19,5675.9,0.56308,0.37127,0.9901,0.95843,0.97372,0.98995,0.92254,0.40168,0.32327,0.90589,0.0008218,0.0008218,0.0008218
20,5970.5,0.55267,0.36372,0.97912,0.99591,0.97214,0.98787,0.91975,0.40579,0.31689,0.89059,0.0008119,0.0008119,0.0008119
