epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,163.186,0.91544,0.71111,1,0.67788,0.000471617,0.000471617,0.000471617
2,315.794,0.46172,0.75333,1,0.60925,0.000929181,0.000929181,0.000929181
3,467.354,0.33801,0.82,1,0.45728,0.00136788,0.00136788,0.00136788
4,622.205,0.37666,0.76667,1,0.79676,0.00134412,0.00134412,0.00134412
5,799.097,0.32816,0.80889,1,0.57275,0.00131582,0.00131582,0.00131582
6,951.405,0.28822,0.83778,1,0.54431,0.00128753,0.00128753,0.00128753
7,1104.86,0.24063,0.84889,1,0.38236,0.00125923,0.00125923,0.00125923
8,1268.6,0.18941,0.85333,1,0.51792,0.00123094,0.00123094,0.00123094
9,1434.02,0.18705,0.85333,1,0.43741,0.00120265,0.00120265,0.00120265
10,1592.97,0.17151,0.87333,1,0.37389,0.00117435,0.00117435,0.00117435
11,1751.14,0.14799,0.86667,1,0.49094,0.00114606,0.00114606,0.00114606
12,1915.8,0.13955,0.85778,1,0.52106,0.00111776,0.00111776,0.00111776
13,2082,0.1235,0.86444,1,0.43042,0.00108947,0.00108947,0.00108947
14,2244.92,0.08594,0.85111,1,0.58635,0.00106118,0.00106118,0.00106118
15,2402.91,0.11475,0.83111,1,0.59477,0.00103288,0.00103288,0.00103288
16,2559.91,0.1141,0.82444,1,0.59866,0.00100459,0.00100459,0.00100459
17,2714.76,0.11221,0.84889,1,0.52312,0.000976293,0.000976293,0.000976293
18,2871.93,0.10975,0.84889,1,0.52162,0.000947999,0.000947999,0.000947999
19,3030.61,0.10025,0.85111,1,0.54391,0.000919704,0.000919704,0.000919704
20,3188.28,0.11849,0.84444,1,0.56557,0.00089141,0.00089141,0.00089141
21,3344.17,0.12752,0.86667,1,0.47078,0.000863116,0.000863116,0.000863116
22,3499.11,0.09157,0.88667,1,0.55587,0.000834822,0.000834822,0.000834822
23,3655.25,0.07892,0.87333,1,0.5198,0.000806528,0.000806528,0.000806528
24,3814.51,0.07449,0.84889,1,0.69782,0.000778233,0.000778233,0.000778233
25,3973.12,0.07206,0.86,1,1.0813,0.000749939,0.000749939,0.000749939
26,4131.89,0.06516,0.88222,1,0.40155,0.000721645,0.000721645,0.000721645
27,4288.34,0.06786,0.86,1,0.54153,0.000693351,0.000693351,0.000693351
28,4446.32,0.06586,0.85111,1,0.59973,0.000665057,0.000665057,0.000665057
29,4597.98,0.0553,0.86,1,0.7375,0.000636762,0.000636762,0.000636762
30,4754.43,0.0508,0.87111,1,0.56251,0.000608468,0.000608468,0.000608468
31,4913.14,0.06809,0.87778,1,0.60273,0.000580174,0.000580174,0.000580174
32,5070.91,0.05456,0.87111,1,0.60115,0.00055188,0.00055188,0.00055188
33,5226.59,0.05523,0.87556,1,0.56007,0.000523586,0.000523586,0.000523586
34,5382.5,0.0606,0.88222,1,0.48845,0.000495291,0.000495291,0.000495291
35,5539.33,0.05415,0.86889,1,0.6803,0.000466997,0.000466997,0.000466997
36,5706.86,0.04037,0.87111,1,0.40415,0.000438703,0.000438703,0.000438703
37,5871.87,0.05023,0.87111,1,0.6335,0.000410409,0.000410409,0.000410409
38,6037.62,0.05254,0.89111,1,0.43571,0.000382115,0.000382115,0.000382115
39,6197.89,0.03384,0.88667,1,0.45159,0.00035382,0.00035382,0.00035382
40,6352.2,0.04219,0.86889,1,0.5748,0.000325526,0.000325526,0.000325526
41,6506.54,0.03898,0.86889,1,0.51779,0.000297232,0.000297232,0.000297232
42,6661.58,0.0469,0.87111,1,0.55885,0.000268938,0.000268938,0.000268938
43,6818.87,0.03857,0.86667,1,0.94191,0.000240644,0.000240644,0.000240644
44,6975.12,0.03558,0.87333,1,0.90562,0.000212349,0.000212349,0.000212349
45,7132.05,0.02617,0.87111,1,0.6875,0.000184055,0.000184055,0.000184055
46,7286.12,0.03805,0.87556,1,0.56311,0.000155761,0.000155761,0.000155761
47,7440.94,0.03249,0.87556,1,0.55826,0.000127467,0.000127467,0.000127467
48,7597.21,0.03698,0.87556,1,0.57692,9.91726e-05,9.91726e-05,9.91726e-05
49,7751.34,0.0409,0.86444,1,0.62445,7.08784e-05,7.08784e-05,7.08784e-05
50,7906.38,0.02873,0.87111,1,0.5588,4.25842e-05,4.25842e-05,4.25842e-05
