epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.797,0.76466,1.96326,1.10825,0.87305,0.81407,0.94667,0.84482,0.47385,2.04903,0.95286,0.000330033,0.000330033,0.000330033
2,591.675,0.69083,0.96417,1.04616,0.9303,0.91606,0.96834,0.84875,0.55208,1.27074,0.99602,0.000656799,0.000656799,0.000656799
3,880.068,0.708,0.90621,1.06283,0.75817,0.75625,0.77743,0.68103,0.5361,1.76261,0.99983,0.000976965,0.000976965,0.000976965
4,1166.93,0.69034,0.80033,1.04938,0.89354,0.87267,0.9685,0.87194,0.50873,0.9418,0.9778,0.0009703,0.0009703,0.0009703
5,1454.28,0.65902,0.70586,1.03681,0.91101,0.92946,0.97684,0.83901,0.57143,0.85302,1.03061,0.0009604,0.0009604,0.0009604
6,1740.91,0.6566,0.62221,1.03374,0.92599,0.95915,0.9889,0.87187,0.53634,0.64076,0.97867,0.0009505,0.0009505,0.0009505
7,2028.17,0.65002,0.57255,1.027,0.98961,0.96245,0.99098,0.89635,0.48426,0.53195,0.95902,0.0009406,0.0009406,0.0009406
8,2314.85,0.61311,0.51305,1.0098,0.9345,0.93233,0.96352,0.86726,0.49533,0.56239,0.96201,0.0009307,0.0009307,0.0009307
9,2602.79,0.63494,0.51525,1.02219,0.98527,0.9739,0.98856,0.88194,0.52978,0.47436,0.97373,0.0009208,0.0009208,0.0009208
10,2890.43,0.60641,0.4826,1.00491,0.98541,0.97189,0.98952,0.90514,0.45155,0.41997,0.93588,0.0009109,0.0009109,0.0009109
11,3177.89,0.60304,0.44149,0.99451,0.98379,0.95533,0.98732,0.90102,0.47354,0.39137,0.95011,0.000901,0.000901,0.000901
12,3467.07,0.60407,0.42893,1.00046,0.95557,0.9668,0.97832,0.89045,0.49415,0.42765,0.96373,0.0008911,0.0008911,0.0008911
13,3754.41,0.57795,0.4201,0.98792,0.98306,0.97843,0.9891,0.90717,0.45038,0.34595,0.95103,0.0008812,0.0008812,0.0008812
14,4041.66,0.58982,0.41338,1.00262,0.96271,0.9531,0.96829,0.8713,0.50497,0.43521,0.9671,0.0008713,0.0008713,0.0008713
15,4328.48,0.58798,0.41127,0.99286,0.98195,0.97038,0.97574,0.8842,0.49197,0.38299,0.95773,0.0008614,0.0008614,0.0008614
16,4615.65,0.58081,0.38868,0.99885,0.98629,0.97217,0.99223,0.90987,0.44922,0.33984,0.93868,0.0008515,0.0008515,0.0008515
17,4902.61,0.56069,0.37599,0.97892,0.98056,0.96663,0.98953,0.92234,0.41322,0.32347,0.91392,0.0008416,0.0008416,0.0008416
18,5189.52,0.5721,0.3852,0.99002,0.96817,0.97563,0.98801,0.92146,0.41804,0.33882,0.92061,0.0008317,0.0008317,0.0008317
